model,pass_at,testlines,loop,cost,accuracy
13B,0,2,1,0.08573180000000001,0.6463414634146342
13B,0,4,1,0.241968496,0.6463414634146342
13B,1,2,1,0.5188266159999999,0.6463414634146342
13B,1,4,1,0.675063312,0.6463414634146342
13B,3,2,10,1.4323835064,0.6963414634146341
13B,3,4,10,1.7084387319999998,0.7207317073170733
13B,5,2,10,2.3909879224,0.7219512195121951
13B,5,4,10,2.8552481495999995,0.7542682926829268
13B,10,2,10,4.769598864800001,0.7530487804878049
13B,10,4,10,5.698937428799999,0.7878048780487805
34B,0,2,1,0.5401068288,0.725609756097561
34B,0,4,1,1.1617177088000001,0.725609756097561
34B,1,2,1,3.2054460416,0.725609756097561
34B,1,4,1,3.8270569216,0.725609756097561
34B,3,2,10,9.35908740096,0.7707317073170732
34B,3,4,10,11.088725908479999,0.7817073170731708
34B,5,2,10,15.564473858560001,0.7865853658536586
34B,5,4,10,18.45369985536,0.8042682926829269
34B,10,2,10,31.1579870976,0.8054878048780489
34B,10,4,10,36.86395463168,0.8225609756097562
7B,0,2,1,0.0153752896,0.5670731707317073
7B,0,4,1,0.030389216,0.5670731707317073
7B,1,2,1,0.0927641792,0.5670731707317073
7B,1,4,1,0.10777810560000001,0.5670731707317073
7B,3,2,10,0.25883506879999996,0.6426829268292684
7B,3,4,10,0.30751865408,0.6658536585365854
7B,5,2,10,0.43177104256,0.677439024390244
7B,5,4,10,0.5122098784,0.7060975609756099
7B,10,2,10,0.8639524467199999,0.7054878048780487
7B,10,4,10,1.02362516608,0.7378048780487804
